# name,mass,star_name,ra,dec
HAT-P-54 b,"0,76",HAT-P-54,"99,8980416785","25,4825277998"
HD 47536 b,5,HD 47536,"99,4458333","-32,3397222"
HD 47366 b,"1,75",HD 47366,"99,420833347","-12,985000021"
HD 47366 c,"1,86",HD 47366,"99,420833347","-12,985000021"
7 CMa b,"2,46",7 CMa,"99,1708333","-19,2558333"
HD 47186 b,"0,07167",HD 47186,"99,0375","-27,6222222"
HD 47186 c,"0,35061",HD 47186,"99,0375","-27,6222222"
PSR 0636 b,8,PSR J0636,99,"51,483333343"
WASP-101 b,"0,5",WASP-101,"98,35","-23,4861"
HD 46375 b,"0,23",HD 46375,"98,3","5,4627778"
CoRoT-18 b,"3,47",CoRoT-18,"98,170833347","0,031388901"
CoRoT-20 b,"4,24",CoRoT-20,"97,730434","0,22692"
6 Lyn b,69,6 Lyn,"97,6958333","58,1627778"
WASP-12 b,"1,404",WASP-12,"97,6375","29,6722222"
HD 45652 b,"0,47",HD 45652,"97,3041667","10,9338889"
HD 45350 b,"1,79",HD 45350,"97,1875","38,9627778"
CoRoT-15 b,"63,4",CoRoT-15,"97,116666676","6,18624167266"
CoRoT-19 b,"1,11",CoRoT-19,"97,033333336","0,170555562"
HD 45364 b,"0,1872",HD 45364,"96,4083333","-31,4808333"
HD 45364 c,"0,6579",HD 45364,"96,4083333","-31,4808333"
HD 45184 b,"0,04",HD 45184,"96,1833333","-28,78"
HD 44219 b,"0,58",HD 44219,"95,0583333","-10,725"
HD 43691 b,"2,49",HD 43691,"94,8958333","41,0922222"
CoRoT-31 b,"0,85",CoRoT-31,"94,820833339","-4,422222235"
AB Pic b,"13,5",AB Pic,"94,8","-58,0541667"
XO-6 b,"1,9",XO-6,"94,79166667","73,827777803"
WASP-63 b,"0,38",WASP-63,"94,3375","-38,3233333"
HATS-4 b,"1,323",HATS-4,"94,112500009","-21,453055534"
HD 43197 b,"0,6",HD 43197,"93,4","-29,8972222"
HD 42618 b,"0,0453",HD 42618,"93,004166667","6,783055584"
KELT-2 A b,"1,486",KELT-2 A,"92,6625","30,9572222"
GJ 229 A b,"0,100682754932",GJ 229 A,"92,6442305532","-21,8646421676"
GJ 229 B,35,GJ 229 A,"92,6442305532","-21,8646421676"
HD 42012 b,"1,6",HD 42012,"92,4854166855","34,1353055598"
CD-35 2722 b,31,CD-35 2722,"92,3300429231","-35,8253322455"
HD 40979 b,"4,01",HD 40979,"91,1208333","44,2602778"
WASP-49 b,"0,378",WASP-49,"91,0894250072","-16,9652944757"
HD 41248 c,"0,0223",HD 41248,"90,1375","-56,1619"
GJ 27.1 b,"0,0409023691911",GJ 27.1,"9,99510797794","-43,7467781869"
HD 3651 b,"0,231",HD 3651,"9,8375","21,2502778"
HD 3651 c,"0,09",HD 3651,"9,8375","21,2502778"
HAT-P-16 b,"4,193",HAT-P-16,"9,575","42,4630556"
HAT-P-19 b,"0,292",HAT-P-19,"9,5166667","34,7116667"
WASP-93 b,"1,47",WASP-93,"9,45833335","51,288888899"
HD 41004 B b,"18,4",HD 41004 B,"89,9583333","-48,2397222"
HD 41004 A b,"2,54",HD 41004 A,"89,9541667","-48,2394444"
HD 40307 b,"0,012",HD 40307,"88,5166667","-60,0233333"
HD 40307 c,"0,0202",HD 40307,"88,5166667","-60,0233333"
HD 40307 d,"0,0275",HD 40307,"88,5166667","-60,0233333"
HD 40307 e,"0,011",HD 40307,"88,5166667","-60,0233333"
HD 40307 f,"0,0114",HD 40307,"88,5166667","-60,0233333"
HD 40307 g,"0,0223",HD 40307,"88,5166667","-60,0233333"
HD 39392 b,"13,2",HD 39392,"88,329166673","22,072222228"
BD-06 1339 b,"0,027",BD-06 1339,"88,25","-5,9947"
BD-06 1339 c,"0,17",BD-06 1339,"88,25","-5,9947"
BD-06 1339 d,"0,091",BD-06 1339,"88,25","-5,9947"
HATS-6 b,"0,319",HATS-6,"88,1467500117","-19,031666679"
HD 38858 b,"0,0961",HD 38858,"87,1458333","-4,0947222"
WASP-62 b,"0,57",WASP-62,"87,1416667","-63,9883333"
HD 38801 b,"10,7",HD 38801,"86,9958333","-8,3277778"
beta Pic b,7,beta Pic,"86,8208333","-51,0663889"
HD 38529 b,"0,93",HD 38529,"86,6416667","1,1680556"
HD 38529 c,"23,7",HD 38529,"86,6416667","1,1680556"
HD 39194 b,"0,0117",HD 39194,"86,1333333","-70,1436111"
HD 39194 c,"0,0187",HD 39194,"86,1333333","-70,1436111"
HD 39194 d,"0,0162",HD 39194,"86,1333333","-70,1436111"
HD 37605 b,"2,813",HD 37605,"85,0041667","6,0605556"
HD 37605 c,"3,366",HD 37605,"85,0041667","6,0605556"
HATS-44 b,"0,56",HATS-44,"84,3267083395","-27,9726111352"
HD 39091 b,"10,3",HD 39091,"84,2875","-80,4688889"
HD 37124 b,"0,675",HD 37124,"84,2583333","20,7305556"
HD 37124 c,"0,652",HD 37124,"84,2583333","20,7305556"
HD 37124 d,"0,696",HD 37124,"84,2583333","20,7305556"
HD 38283 b,"0,34",HD 38283,"84,2583333","-73,6994444"
Proplyd 133-353,13,Proplyd 133-353,"83,804166671","-5,398055575"
HD 35759 b,"3,76",HD 35759,"82,887500011","64,282777796"
CVSO 30 b ,"6,2",CVSO 30,"81,2833333","1,5733333"
CVSO 30 c,"4,7",CVSO 30,"81,2833333","1,5733333"
HD 290327 b,"2,54",HD 290327,"80,8416667","-2,2775"
HD 33564 b,"9,1",HD 33564,"80,6375","79,2311111"
HATS-43 b,"0,261",HATS-43,"80,5381666697","-30,970833356"
HD 3167 b,"0,0158",HD 3167,"8,73966668584","4,3814722414"
HD 3167 c,"0,0308",HD 3167,"8,73966668584","4,3814722414"
HD 3167 d,"0,0217",HD 3167,"8,73966668584","4,3814722414"
HD 2952 b,"1,6",HD 2952,"8,2917","54,895"
HD 34445 b,"0,79",HD 34445,"79,4208333","7,3533333"
GJ 3341 b,"0,35717",GJ 3341,"78,945833349","-31,296111127"
TYC-3667-1280-1 b,"5,4",TYC-3667-1280-1,"78,37500001","58,426111127"
KELT-7 b,"1,29",KELT-7,"78,295833337","33,318055563"
HD 33844 b,"1,96",HD 33844,"78,150000012","-13,048888869"
HD 33844 c,"1,75",HD 33844,"78,150000012","-13,048888869"
Kapteyn's b,"0,0151024132398",Kapteyn's,"77,920833347","-45,018333335"
Kapteyn's c,"0,0220243526413",Kapteyn's,"77,920833347","-45,018333335"
HD 32518 b,"3,04",HD 32518,"77,4041667","69,6394444"
HD 33283 b,"0,33",HD 33283,"77,0041667","-26,7972222"
HD 32963 b,"0,7",HD 32963,"76,983333352","26,328055571"
HD 33142 b,"1,3",HD 33142,"76,9","-13,9863889"
WASP-35 b,"0,72",WASP-35,"76,0817733399","-6,22982307041"
GJ 3323 b,"0,00636",GJ 3323,"75,4895833525","-6,9460833622"
GJ 3323 c,"0,00727",GJ 3323,"75,4895833525","-6,9460833622"
WASP-61 b,"2,06",WASP-61,"75,3","-26,0541667"
WISE 0458+6434 b,13,WISE 0458+6434 A,"74,725000018","64,581388912"
HD 31527 b,"0,0363",HD 31527,"73,9083333","-23,2419444"
HD 31527 c,"0,0498",HD 31527,"73,9083333","-23,2419444"
HD 31527 d,"0,0519",HD 31527,"73,9083333","-23,2419444"
HD 31253 b,"0,5",HD 31253,"73,6833333","12,3522222"
GJ 180 b,"0,0261145895605",GJ 180,"73,4582490167","-17,7734139096"
GJ 180 c,"0,0201365509864",GJ 180,"73,4582490167","-17,7734139096"
GJ 179 b,"0,82",GJ 179,"73,025","6,4766667"
WASP-82 b,"1,24",WASP-82,"72,6625","1,8939"
HD 30856 b,"1,8",HD 30856,"72,575","-24,3688889"
HD 30562 b,"1,29",HD 30562,"72,15","-5,6741667"
HD 30669 b,"0,47",HD 30669,"72,120833343","-28,419166677"
WASP-141 b,"2,69",WASP-141,"71,825000006","-17,115277792"
GJ 176 b,"0,0265",GJ 176,"70,7333333","18,9580556"
HD 30177 b,"8,07",HD 30177,"70,475","-58,0205556"
HD 30177 c,3,HD 30177,"70,475","-58,0205556"
2M 0441+23 b,"7,5",2M 0441+23,"70,4375","23,0308333"
LP 358-499 b,"0,0069",LP 358-499,"70,150000012","25,010000008"
LP 358-499 c,"0,01",LP 358-499,"70,150000012","25,010000008"
LP 358-499 d,"0,026",LP 358-499,"70,150000012","25,010000008"
HD 2638 b,"0,48",HD 2638,"7,4958333","-5,7638889"
BD-17 63 b,"5,1",BD-17 63,"7,1416667","-16,2263889"
Qatar-5 b,"4,32",Qatar-5,"7,054166671","42,061388899"
LKCA 15 b,6,LKCA 15,"69,825","22,3508333"
HD 29021 b,"2,4",HD 29021,"69,4675000174","60,6761944654"
51 Eri b,"9,1",51 Eri,"69,4005514287","-2,47354859817"
Aldebaran b,"6,47",Aldebaran,"68,9791667","16,5091667"
WASP-100 b,"2,03",WASP-100,"68,9583","-64,0269"
CI Tau b,"12,31",CI Tau,"68,466666684","22,84166669"
V830 Tau b,"0,77",V830 Tau,"68,29166667","24,561944465"
HD 28678 b,"1,7",HD 28678,"67,8541667","4,5752778"
DH Tau b,11,DH Tau,"67,425","26,5494444"
FW Tau b,10,FW Tau,"67,37500001","26,281388906"
HATS-5 b,"0,237",HATS-5,"67,225000018","-20,518055534"
eps Tau b,"7,34",eps Tau,"67,1541667","19,1805556"
GJ 3293 b,"0,07406",GJ 3293,"67,150000012","-25,169166672"
GJ 3293 c,"0,06636",GJ 3293,"67,150000012","-25,169166672"
GJ 3293 d,"0,024",GJ 3293,"67,150000012","-25,169166672"
GJ 3293 e,"0,0103",GJ 3293,"67,150000012","-25,169166672"
HD 283668 b,"53,4",HD 283668,"66,970833351","24,44472224"
HD 28185 b,"5,7",HD 28185,"66,6083333","-10,5505556"
WASP-79 b,"0,9",WASP-79,"66,3708333","-30,6005556"
HAT-P-15 b,"1,946",HAT-P-15,"66,25","39,4605556"
HD 28254 b,"1,16",HD 28254,"66,2125","-50,6222222"
FU Tau b,15,FU Tau,"65,8958333","25,0508333"
XO-3 b,"11,79",XO-3,"65,4708333","57,8169444"
RR Cae b,"4,2",RR Cae,"65,275","-48,6519444"
HD 27894 b,"0,665",HD 27894,"65,1958333","-59,4108333"
HD 27894 c,"0,162",HD 27894,"65,1958333","-59,4108333"
HD 27894 d,"5,415",HD 27894,"65,1958333","-59,4108333"
HD 27631 b,"1,45",HD 27631,"64,9375","-41,9602778"
TAP 26 b,"1,73",TAP 26,"64,716666684","17,388055567"
HD 27442 b,"1,35",HD 27442,"64,1208333","-59,3019444"
WASP-78 b,"1,16",WASP-78,"63,7583333","-22,1163889"
WASP-126 b,"0,28",WASP-126,"63,37500001","-69,226944457"
K2-29 b,"0,73",EPIC 211089792,"62,670833347","24,401944454"
WASP-120 b,"5,06",WASP-120,"62,616666676","-45,898333363"
GJ 163 b,"0,0334",GJ 163,"62,3167","-53,3736"
GJ 163 c,"0,02285",GJ 163,"62,3167","-53,3736"
GJ 163 d,"0,06945",GJ 163,"62,3167","-53,3736"
HD 285507 b,"0,917",HD 285507,"61,754166667","15,335000008"
HD 284149 b,32,HD 284149,"61,662500013","20,303055564"
GJ 160.2 b,"0,0320926281345",GJ 160.2,"61,6451723449","-19,1468780083"
WASP-140 b,"2,44",WASP-140,"60,387500011","-20,451111121"
HATS-46 b,"0,173",HATS-46,"6,70241668286","-56,31611113"
HD 2039 b,"6,11",HD 2039,"6,0833333","-56,65"
EPIC 210894022 b,"0,027",EPIC 210894022,"59,8897541778","21,2986861291"
HD 24064 b,"9,4",HD 24064,"59,150000012","74,080000012"
HD 25171 b,"0,95",HD 25171,"58,9541667","-65,1866667"
WASP-98 b,"0,83",WASP-98,"58,425","-34,3283"
HD 24040 b,"4,01",HD 24040,"57,5958333","17,4763889"
HD 23596 b,"8,1",HD 23596,57,"40,5305556"
HII 1348 b,59,HII 1348,"56,825000006","24,390833347"
Teide 1,54,Teide 1,"56,824687506","24,3754750144"
WASP-119 b,"1,23",WASP-119,"55,941666682","-65,193888901"
K2-77 b,"1,9",K2-77,"55,2284166849","12,5726111272"
HD 22781 b,"13,65",HD 22781,"55,2083333","31,8263889"
HD 23079 b,"2,45",HD 23079,"54,9291667","-52,9158333"
HD 23127 b,"1,5",HD 23127,"54,85","-60,0777778"
UZ For (AB) d,"7,7",UZ For (AB),"53,8708333","-25,7394444"
BD+20 594 b,"0,0513",BD+20 594,"53,650000012","20,599166691"
eps Eridani b,"3,09",eps Eridani,"53,2291667","-9,4580556"
WASP-22 b,"0,617",WASP-22,"52,8166667","-23,8197222"
sig Per b,"6,5",sig Per,"52,645833345","47,995277807"
K2-30 b,"0,624",K2-30,"52,341666674","22,299444463"
HD 21693 b,"0,0322",HD 21693,"51,8","-58,3236111"
